Submission Date & Time,Issue Type,Urgency,Priority,Description Details,Resolution Time (Hours)
2024-10-02 02:32:00,Maintenance Task,Moderate,High,Default description of maintenance task with moderate urgency.,1.5
2024-10-01 21:01:00,Feature Request,Critical,Low,Default description of feature request with critical urgency.,1.8
2024-10-01 09:33:00,Software Update,Low,High,Default description of software update with low urgency.,3.3
2024-10-01 13:55:00,Maintenance Task,Low,Medium,Default description of maintenance task with low urgency.,7.6
2024-10-01 15:33:00,Feature Request,Low,Low,Default description of feature request with low urgency.,77.8
2024-10-01 15:35:00,Security Incident,Moderate,High,Default description of security incident with moderate urgency.,1.4
2024-10-01 14:59:00,System Outage,Moderate,High,Default description of system outage with moderate urgency.,1.0
2024-10-01 12:33:00,Security Incident,Routine,Low,Default description of security incident with routine urgency.,26.6
2024-10-01 11:41:00,Feature Request,High,Medium,Default description of feature request with high urgency.,6.6
2024-10-02 01:58:00,Performance Issue,Routine,Medium,Default description of performance issue with routine urgency.,8.4
2024-10-02 05:01:00,Maintenance Task,Routine,Medium,Default description of maintenance task with routine urgency.,5.0
2024-10-01 22:44:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,17.5
2024-10-02 02:06:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,3.3
2024-10-01 23:27:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,13.1
2024-10-02 02:46:00,Software Update,High,High,Default description of software update with high urgency.,3.0
2024-10-02 03:43:00,System Outage,Routine,Medium,Default description of system outage with routine urgency.,5.5
2024-10-01 17:12:00,System Outage,High,Medium,Default description of system outage with high urgency.,8.9
2024-10-01 10:03:00,Data Discrepancy,Critical,Medium,Default description of data discrepancy with critical urgency.,1.4
2024-10-01 18:54:00,Hardware Failure,Routine,High,Default description of hardware failure with routine urgency.,3.5
2024-10-01 20:48:00,Bug Report,Critical,High,Default description of bug report with critical urgency.,1.0
2024-10-02 02:06:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,7.3
2024-10-02 06:14:00,Performance Issue,Routine,High,Default description of performance issue with routine urgency.,2.8
2024-10-02 06:59:00,Bug Report,Routine,Low,Default description of bug report with routine urgency.,31.6
2024-10-01 21:03:00,Maintenance Task,Scheduled,Low,Default description of maintenance task with scheduled urgency.,94.9
2024-10-01 14:07:00,Bug Report,Critical,Medium,Default description of bug report with critical urgency.,1.1
2024-10-02 07:49:00,Bug Report,Scheduled,Low,Default description of bug report with scheduled urgency.,69.7
2024-10-02 05:10:00,User Inquiry,Moderate,Medium,Default description of user inquiry with moderate urgency.,9.1
2024-10-01 16:31:00,Hardware Failure,Low,Low,Default description of hardware failure with low urgency.,87.9
2024-10-01 17:50:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,20.5
2024-10-01 18:41:00,Maintenance Task,Moderate,Medium,Default description of maintenance task with moderate urgency.,10.5
2024-10-01 20:28:00,Bug Report,Scheduled,Low,Default description of bug report with scheduled urgency.,63.5
2024-10-02 04:41:00,Security Incident,High,Medium,Default description of security incident with high urgency.,8.1
2024-10-01 13:20:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,1.1
2024-10-02 05:00:00,Bug Report,High,High,Default description of bug report with high urgency.,1.6
2024-10-01 15:16:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,18.4
2024-10-01 13:37:00,Compliance Check,Routine,High,Default description of compliance check with routine urgency.,2.9
2024-10-02 00:30:00,Bug Report,High,Low,Default description of bug report with high urgency.,10.8
2024-10-01 22:38:00,Access Request,Low,Low,Default description of access request with low urgency.,27.3
2024-10-01 13:21:00,Access Request,Routine,Low,Default description of access request with routine urgency.,34.5
2024-10-02 06:19:00,Maintenance Task,Moderate,High,Default description of maintenance task with moderate urgency.,2.5
2024-10-02 01:41:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,10.4
2024-10-02 03:51:00,Security Incident,Moderate,Medium,Default description of security incident with moderate urgency.,4.5
2024-10-01 14:02:00,Data Discrepancy,Critical,Medium,Default description of data discrepancy with critical urgency.,1.6
2024-10-02 01:49:00,System Outage,Scheduled,Low,Default description of system outage with scheduled urgency.,93.6
2024-10-01 16:28:00,Compliance Check,Moderate,High,Default description of compliance check with moderate urgency.,1.1
2024-10-02 04:31:00,System Outage,Moderate,Low,Default description of system outage with moderate urgency.,22.0
2024-10-01 22:48:00,Hardware Failure,Low,High,Default description of hardware failure with low urgency.,3.8
2024-10-02 01:52:00,Maintenance Task,Moderate,High,Default description of maintenance task with moderate urgency.,3.9
2024-10-02 02:30:00,User Inquiry,High,Medium,Default description of user inquiry with high urgency.,7.7
2024-10-02 03:07:00,Compliance Check,High,Low,Default description of compliance check with high urgency.,11.2
2024-10-01 19:30:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,2.7
2024-10-01 23:22:00,Data Discrepancy,Critical,Low,Default description of data discrepancy with critical urgency.,3.2
2024-10-01 10:20:00,User Inquiry,High,Medium,Default description of user inquiry with high urgency.,10.7
2024-10-01 15:39:00,Performance Issue,Scheduled,High,Default description of performance issue with scheduled urgency.,2.6
2024-10-02 06:40:00,Feature Request,Low,Low,Default description of feature request with low urgency.,85.5
2024-10-02 04:07:00,Bug Report,Moderate,High,Default description of bug report with moderate urgency.,2.1
2024-10-01 13:47:00,Software Update,Critical,High,Default description of software update with critical urgency.,3.1
2024-10-01 13:53:00,Software Update,Routine,Medium,Default description of software update with routine urgency.,4.6
2024-10-02 07:33:00,Configuration Change,Critical,Medium,Default description of configuration change with critical urgency.,1.8
2024-10-01 23:46:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,2.0
2024-10-02 00:34:00,Security Incident,High,Low,Default description of security incident with high urgency.,4.4
2024-10-02 06:57:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,22.8
2024-10-01 13:07:00,Feature Request,Scheduled,High,Default description of feature request with scheduled urgency.,2.1
2024-10-01 14:48:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,3.2
2024-10-02 05:33:00,Configuration Change,Scheduled,Low,Default description of configuration change with scheduled urgency.,71.6
2024-10-01 22:48:00,Configuration Change,High,High,Default description of configuration change with high urgency.,2.2
2024-10-01 16:02:00,Performance Issue,Moderate,Medium,Default description of performance issue with moderate urgency.,7.2
2024-10-01 23:47:00,Configuration Change,Moderate,High,Default description of configuration change with moderate urgency.,2.2
2024-10-02 05:20:00,Hardware Failure,Moderate,High,Default description of hardware failure with moderate urgency.,2.1
2024-10-01 20:30:00,Performance Issue,Scheduled,High,Default description of performance issue with scheduled urgency.,3.8
2024-10-02 07:21:00,Data Discrepancy,Routine,Low,Default description of data discrepancy with routine urgency.,53.0
2024-10-01 23:45:00,Configuration Change,Low,High,Default description of configuration change with low urgency.,1.8
2024-10-01 15:54:00,Hardware Failure,Scheduled,Low,Default description of hardware failure with scheduled urgency.,47.7
2024-10-02 07:20:00,Maintenance Task,Critical,Medium,Default description of maintenance task with critical urgency.,1.5
2024-10-01 20:13:00,Compliance Check,Routine,Low,Default description of compliance check with routine urgency.,77.9
2024-10-02 01:59:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,18.5
2024-10-01 12:34:00,Maintenance Task,Routine,Low,Default description of maintenance task with routine urgency.,68.6
2024-10-01 14:22:00,Access Request,Moderate,Low,Default description of access request with moderate urgency.,23.4
2024-10-01 16:30:00,Software Update,Scheduled,High,Default description of software update with scheduled urgency.,1.9
2024-10-02 03:54:00,System Outage,Moderate,Low,Default description of system outage with moderate urgency.,23.0
2024-10-01 08:50:00,Security Incident,Scheduled,Medium,Default description of security incident with scheduled urgency.,4.1
2024-10-02 06:12:00,System Outage,Moderate,Low,Default description of system outage with moderate urgency.,14.4
2024-10-01 15:59:00,Compliance Check,Low,Medium,Default description of compliance check with low urgency.,10.9
2024-10-02 05:11:00,Hardware Failure,High,High,Default description of hardware failure with high urgency.,3.7
2024-10-02 02:07:00,User Inquiry,Critical,Medium,Default description of user inquiry with critical urgency.,3.1
2024-10-02 01:07:00,Access Request,Routine,Low,Default description of access request with routine urgency.,35.3
2024-10-01 10:53:00,Maintenance Task,Scheduled,Medium,Default description of maintenance task with scheduled urgency.,11.2
2024-10-02 05:43:00,Software Update,Scheduled,High,Default description of software update with scheduled urgency.,1.6
2024-10-01 15:22:00,System Outage,Routine,High,Default description of system outage with routine urgency.,3.1
2024-10-01 15:51:00,Data Discrepancy,Routine,High,Default description of data discrepancy with routine urgency.,3.3
2024-10-01 19:51:00,Access Request,Critical,Medium,Default description of access request with critical urgency.,3.8
2024-10-01 21:27:00,Compliance Check,High,Medium,Default description of compliance check with high urgency.,5.4
2024-10-02 07:29:00,Performance Issue,High,High,Default description of performance issue with high urgency.,3.5
2024-10-02 03:25:00,User Inquiry,Routine,Low,Default description of user inquiry with routine urgency.,86.5
2024-10-01 19:29:00,Bug Report,Scheduled,High,Default description of bug report with scheduled urgency.,2.8
2024-10-01 20:50:00,Performance Issue,Low,High,Default description of performance issue with low urgency.,1.7
2024-10-02 04:01:00,Security Incident,Routine,High,Default description of security incident with routine urgency.,3.5
2024-10-02 01:23:00,System Outage,Routine,Medium,Default description of system outage with routine urgency.,7.0
2024-10-02 01:19:00,Data Discrepancy,Low,Medium,Default description of data discrepancy with low urgency.,6.5
2024-10-01 10:31:00,Access Request,Scheduled,Low,Default description of access request with scheduled urgency.,68.3
2024-10-01 22:38:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,11.0
2024-10-01 09:25:00,Compliance Check,High,Medium,Default description of compliance check with high urgency.,9.5
2024-10-01 13:18:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,6.4
2024-10-02 01:45:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,32.7
2024-10-01 22:55:00,Software Update,Scheduled,Medium,Default description of software update with scheduled urgency.,8.4
2024-10-01 11:50:00,Maintenance Task,Routine,Low,Default description of maintenance task with routine urgency.,41.0
2024-10-02 03:25:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,8.5
2024-10-01 15:07:00,Data Discrepancy,Scheduled,Medium,Default description of data discrepancy with scheduled urgency.,11.9
2024-10-02 02:48:00,Maintenance Task,Low,High,Default description of maintenance task with low urgency.,3.5
2024-10-01 08:59:00,Compliance Check,Routine,Low,Default description of compliance check with routine urgency.,87.7
2024-10-01 13:22:00,Performance Issue,Low,High,Default description of performance issue with low urgency.,1.7
2024-10-01 09:49:00,Feature Request,Moderate,Low,Default description of feature request with moderate urgency.,23.6
2024-10-01 13:25:00,Data Discrepancy,Low,Medium,Default description of data discrepancy with low urgency.,7.1
2024-10-01 23:44:00,Access Request,High,Low,Default description of access request with high urgency.,9.0
2024-10-02 02:12:00,System Outage,Moderate,Medium,Default description of system outage with moderate urgency.,10.3
2024-10-02 07:28:00,Security Incident,Critical,Low,Default description of security incident with critical urgency.,2.8
2024-10-02 02:38:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,13.9
2024-10-01 11:39:00,System Outage,Scheduled,High,Default description of system outage with scheduled urgency.,2.4
2024-10-01 23:13:00,Data Discrepancy,Routine,High,Default description of data discrepancy with routine urgency.,2.2
2024-10-02 00:08:00,Maintenance Task,Critical,Medium,Default description of maintenance task with critical urgency.,1.5
2024-10-02 05:56:00,Hardware Failure,High,High,Default description of hardware failure with high urgency.,3.2
2024-10-01 18:45:00,System Outage,Scheduled,Low,Default description of system outage with scheduled urgency.,53.2
2024-10-01 09:52:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,3.8
2024-10-01 22:40:00,Feature Request,Low,Low,Default description of feature request with low urgency.,78.8
2024-10-02 00:08:00,Configuration Change,Low,High,Default description of configuration change with low urgency.,1.8
2024-10-02 04:58:00,Access Request,Routine,Low,Default description of access request with routine urgency.,50.0
2024-10-01 19:31:00,Access Request,Routine,High,Default description of access request with routine urgency.,2.9
2024-10-02 03:37:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,14.9
2024-10-01 18:32:00,System Outage,High,High,Default description of system outage with high urgency.,3.4
2024-10-01 22:41:00,User Inquiry,High,High,Default description of user inquiry with high urgency.,3.7
2024-10-01 15:03:00,Maintenance Task,Routine,Low,Default description of maintenance task with routine urgency.,24.3
2024-10-02 01:51:00,System Outage,Critical,Medium,Default description of system outage with critical urgency.,3.2
2024-10-02 05:00:00,Bug Report,Scheduled,High,Default description of bug report with scheduled urgency.,3.2
2024-10-01 09:49:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,6.2
2024-10-02 04:44:00,Maintenance Task,Critical,Medium,Default description of maintenance task with critical urgency.,3.8
2024-10-02 07:48:00,Hardware Failure,Scheduled,Low,Default description of hardware failure with scheduled urgency.,46.7
2024-10-02 04:01:00,Configuration Change,Low,Low,Default description of configuration change with low urgency.,30.9
2024-10-01 19:39:00,System Outage,Critical,Medium,Default description of system outage with critical urgency.,1.3
2024-10-01 22:11:00,Performance Issue,Routine,Low,Default description of performance issue with routine urgency.,53.1
2024-10-01 23:23:00,Performance Issue,High,High,Default description of performance issue with high urgency.,1.8
2024-10-01 14:43:00,Software Update,Critical,Low,Default description of software update with critical urgency.,2.4
2024-10-01 17:51:00,User Inquiry,High,Medium,Default description of user inquiry with high urgency.,11.2
2024-10-01 09:57:00,User Inquiry,Scheduled,High,Default description of user inquiry with scheduled urgency.,2.8
2024-10-02 02:28:00,Data Discrepancy,Scheduled,High,Default description of data discrepancy with scheduled urgency.,2.9
2024-10-02 00:06:00,Maintenance Task,Scheduled,High,Default description of maintenance task with scheduled urgency.,3.3
2024-10-01 18:56:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,9.9
2024-10-01 11:40:00,Bug Report,Critical,Low,Default description of bug report with critical urgency.,2.1
2024-10-01 10:51:00,Software Update,Scheduled,Low,Default description of software update with scheduled urgency.,68.4
2024-10-01 20:27:00,Hardware Failure,Critical,Low,Default description of hardware failure with critical urgency.,3.8
2024-10-02 02:46:00,Bug Report,Scheduled,High,Default description of bug report with scheduled urgency.,3.6
2024-10-02 05:00:00,Configuration Change,High,Low,Default description of configuration change with high urgency.,9.4
2024-10-02 06:37:00,Performance Issue,Moderate,High,Default description of performance issue with moderate urgency.,2.3
2024-10-02 03:08:00,Data Discrepancy,Routine,High,Default description of data discrepancy with routine urgency.,2.5
2024-10-01 20:54:00,Security Incident,Scheduled,High,Default description of security incident with scheduled urgency.,1.3
2024-10-01 23:16:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,11.3
2024-10-01 19:19:00,Compliance Check,Critical,High,Default description of compliance check with critical urgency.,3.9
2024-10-01 09:03:00,Feature Request,Critical,High,Default description of feature request with critical urgency.,3.0
2024-10-01 11:36:00,User Inquiry,Routine,Low,Default description of user inquiry with routine urgency.,75.7
2024-10-02 03:35:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,62.9
2024-10-01 18:55:00,User Inquiry,Critical,High,Default description of user inquiry with critical urgency.,1.9
2024-10-02 04:53:00,Hardware Failure,Moderate,High,Default description of hardware failure with moderate urgency.,2.4
2024-10-01 21:02:00,Bug Report,Moderate,High,Default description of bug report with moderate urgency.,2.9
2024-10-01 22:42:00,System Outage,Critical,High,Default description of system outage with critical urgency.,1.1
2024-10-01 13:33:00,Performance Issue,High,High,Default description of performance issue with high urgency.,2.3
2024-10-01 08:57:00,Hardware Failure,Scheduled,Low,Default description of hardware failure with scheduled urgency.,58.3
2024-10-01 15:08:00,User Inquiry,High,Low,Default description of user inquiry with high urgency.,8.6
2024-10-01 20:53:00,Access Request,Critical,Medium,Default description of access request with critical urgency.,2.7
2024-10-01 08:28:00,Access Request,Routine,Medium,Default description of access request with routine urgency.,10.6
2024-10-01 22:47:00,Access Request,Routine,Medium,Default description of access request with routine urgency.,8.6
2024-10-01 10:49:00,System Outage,High,Low,Default description of system outage with high urgency.,8.2
2024-10-02 05:00:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,4.1
2024-10-01 08:16:00,Hardware Failure,High,High,Default description of hardware failure with high urgency.,2.7
2024-10-02 00:14:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,83.9
2024-10-02 02:12:00,Performance Issue,Moderate,Medium,Default description of performance issue with moderate urgency.,4.2
2024-10-02 01:31:00,Compliance Check,Scheduled,Low,Default description of compliance check with scheduled urgency.,79.8
2024-10-02 05:23:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,3.9
2024-10-02 07:26:00,Maintenance Task,High,Medium,Default description of maintenance task with high urgency.,6.9
2024-10-01 22:19:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,3.0
2024-10-01 12:00:00,Bug Report,Routine,Medium,Default description of bug report with routine urgency.,10.3
2024-10-02 05:03:00,Hardware Failure,Routine,Low,Default description of hardware failure with routine urgency.,48.8
2024-10-02 02:33:00,Software Update,Scheduled,Medium,Default description of software update with scheduled urgency.,6.8
2024-10-01 16:37:00,System Outage,Critical,Low,Default description of system outage with critical urgency.,2.3
2024-10-02 04:01:00,Access Request,Routine,Low,Default description of access request with routine urgency.,31.8
2024-10-01 16:47:00,Maintenance Task,Moderate,High,Default description of maintenance task with moderate urgency.,2.9
2024-10-01 16:49:00,Performance Issue,Critical,High,Default description of performance issue with critical urgency.,1.3
2024-10-01 18:43:00,Feature Request,High,Low,Default description of feature request with high urgency.,8.2
2024-10-01 21:13:00,Configuration Change,High,Medium,Default description of configuration change with high urgency.,9.3
2024-10-02 01:19:00,Configuration Change,Moderate,High,Default description of configuration change with moderate urgency.,1.9
2024-10-01 22:02:00,Access Request,Low,High,Default description of access request with low urgency.,1.8
2024-10-01 16:10:00,Access Request,Scheduled,Medium,Default description of access request with scheduled urgency.,4.2
2024-10-02 03:22:00,Compliance Check,Moderate,Medium,Default description of compliance check with moderate urgency.,10.0
2024-10-01 20:05:00,Data Discrepancy,Critical,Low,Default description of data discrepancy with critical urgency.,3.3
2024-10-01 13:15:00,Data Discrepancy,Moderate,Low,Default description of data discrepancy with moderate urgency.,22.5
2024-10-01 15:57:00,Feature Request,High,High,Default description of feature request with high urgency.,3.5
2024-10-01 23:06:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,5.3
2024-10-01 17:20:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,18.4
2024-10-02 07:59:00,System Outage,Low,High,Default description of system outage with low urgency.,2.7
2024-10-02 05:54:00,Hardware Failure,High,Medium,Default description of hardware failure with high urgency.,11.4
2024-10-01 18:16:00,User Inquiry,Low,Low,Default description of user inquiry with low urgency.,31.6
2024-10-01 15:14:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,2.3
2024-10-01 19:05:00,Performance Issue,Scheduled,Medium,Default description of performance issue with scheduled urgency.,10.1
2024-10-02 03:34:00,Software Update,Critical,Low,Default description of software update with critical urgency.,1.9
2024-10-01 10:45:00,Compliance Check,Critical,Low,Default description of compliance check with critical urgency.,1.4
2024-10-01 08:49:00,Compliance Check,Low,Low,Default description of compliance check with low urgency.,92.7
2024-10-01 18:24:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,1.7
2024-10-01 20:50:00,User Inquiry,High,High,Default description of user inquiry with high urgency.,1.9
2024-10-02 03:04:00,User Inquiry,High,Low,Default description of user inquiry with high urgency.,11.9
2024-10-02 03:14:00,User Inquiry,Moderate,High,Default description of user inquiry with moderate urgency.,3.2
2024-10-02 05:19:00,Compliance Check,Moderate,Low,Default description of compliance check with moderate urgency.,19.5
2024-10-02 07:32:00,Feature Request,Routine,High,Default description of feature request with routine urgency.,3.0
2024-10-01 10:20:00,Maintenance Task,High,Low,Default description of maintenance task with high urgency.,9.7
2024-10-01 09:48:00,Access Request,Scheduled,Medium,Default description of access request with scheduled urgency.,10.5
2024-10-02 05:30:00,Feature Request,Moderate,Medium,Default description of feature request with moderate urgency.,6.0
2024-10-01 20:36:00,Hardware Failure,Moderate,High,Default description of hardware failure with moderate urgency.,2.1
2024-10-01 15:13:00,Hardware Failure,Low,Low,Default description of hardware failure with low urgency.,79.0
2024-10-01 14:09:00,Feature Request,High,Low,Default description of feature request with high urgency.,6.1
2024-10-02 05:45:00,Security Incident,Low,Low,Default description of security incident with low urgency.,95.6
2024-10-01 17:21:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,1.3
2024-10-01 16:24:00,Bug Report,Low,High,Default description of bug report with low urgency.,2.0
2024-10-01 23:30:00,Maintenance Task,Low,High,Default description of maintenance task with low urgency.,2.1
2024-10-02 04:51:00,Bug Report,Moderate,High,Default description of bug report with moderate urgency.,1.2
2024-10-01 08:52:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,3.0
2024-10-02 02:57:00,Data Discrepancy,Routine,Medium,Default description of data discrepancy with routine urgency.,9.4
2024-10-01 14:26:00,Data Discrepancy,Low,High,Default description of data discrepancy with low urgency.,2.4
2024-10-01 08:58:00,Configuration Change,Low,Low,Default description of configuration change with low urgency.,42.1
2024-10-02 02:47:00,Configuration Change,Low,Low,Default description of configuration change with low urgency.,62.6
2024-10-01 11:24:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,2.2
2024-10-02 04:16:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,1.1
2024-10-02 02:01:00,System Outage,Low,Medium,Default description of system outage with low urgency.,9.9
2024-10-01 11:13:00,Bug Report,Routine,High,Default description of bug report with routine urgency.,1.8
2024-10-01 10:11:00,Configuration Change,High,High,Default description of configuration change with high urgency.,1.1
2024-10-01 12:28:00,Maintenance Task,Moderate,Low,Default description of maintenance task with moderate urgency.,23.9
2024-10-02 06:17:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,8.7
2024-10-01 09:25:00,Performance Issue,Routine,Low,Default description of performance issue with routine urgency.,56.5
2024-10-02 01:33:00,Compliance Check,Moderate,High,Default description of compliance check with moderate urgency.,3.1
2024-10-01 19:39:00,Bug Report,Critical,Medium,Default description of bug report with critical urgency.,3.0
2024-10-02 06:30:00,Maintenance Task,High,Medium,Default description of maintenance task with high urgency.,6.9
2024-10-01 16:10:00,Feature Request,Critical,Low,Default description of feature request with critical urgency.,3.7
2024-10-02 04:29:00,Maintenance Task,High,Medium,Default description of maintenance task with high urgency.,11.7
2024-10-01 10:44:00,User Inquiry,Routine,High,Default description of user inquiry with routine urgency.,3.5
2024-10-02 05:14:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,5.1
2024-10-01 23:34:00,User Inquiry,Scheduled,Low,Default description of user inquiry with scheduled urgency.,32.1
2024-10-01 15:33:00,System Outage,Moderate,Low,Default description of system outage with moderate urgency.,23.2
2024-10-01 11:47:00,Compliance Check,High,Low,Default description of compliance check with high urgency.,6.3
2024-10-01 15:30:00,Access Request,Low,Medium,Default description of access request with low urgency.,7.4
2024-10-01 11:44:00,Feature Request,Low,Medium,Default description of feature request with low urgency.,4.8
2024-10-01 13:00:00,Access Request,Moderate,Low,Default description of access request with moderate urgency.,23.8
2024-10-02 05:34:00,System Outage,Routine,High,Default description of system outage with routine urgency.,3.7
2024-10-02 07:18:00,Data Discrepancy,Routine,Medium,Default description of data discrepancy with routine urgency.,6.8
2024-10-01 09:25:00,Performance Issue,Moderate,Medium,Default description of performance issue with moderate urgency.,8.9
2024-10-02 04:16:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,14.5
2024-10-02 07:46:00,Feature Request,High,Low,Default description of feature request with high urgency.,9.3
2024-10-01 20:00:00,System Outage,Moderate,Medium,Default description of system outage with moderate urgency.,10.9
2024-10-02 01:33:00,Bug Report,Critical,Low,Default description of bug report with critical urgency.,3.5
2024-10-01 20:58:00,Configuration Change,Low,Low,Default description of configuration change with low urgency.,66.8
2024-10-01 18:22:00,Data Discrepancy,Critical,High,Default description of data discrepancy with critical urgency.,2.3
2024-10-01 17:50:00,Feature Request,Critical,High,Default description of feature request with critical urgency.,3.2
2024-10-02 03:23:00,Performance Issue,Moderate,Medium,Default description of performance issue with moderate urgency.,5.4
2024-10-01 11:29:00,Access Request,Moderate,Low,Default description of access request with moderate urgency.,17.1
2024-10-01 20:46:00,Performance Issue,High,Medium,Default description of performance issue with high urgency.,9.3
2024-10-02 05:39:00,Configuration Change,High,Low,Default description of configuration change with high urgency.,11.1
2024-10-01 20:09:00,Feature Request,Scheduled,Low,Default description of feature request with scheduled urgency.,52.0
2024-10-02 01:00:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,14.9
2024-10-01 10:38:00,Maintenance Task,Scheduled,Low,Default description of maintenance task with scheduled urgency.,71.7
2024-10-02 02:59:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,1.1
2024-10-01 08:08:00,Security Incident,Moderate,Medium,Default description of security incident with moderate urgency.,9.4
2024-10-01 17:40:00,System Outage,High,High,Default description of system outage with high urgency.,2.7
2024-10-01 23:10:00,Compliance Check,Moderate,High,Default description of compliance check with moderate urgency.,1.7
2024-10-01 18:41:00,Feature Request,Critical,High,Default description of feature request with critical urgency.,3.0
2024-10-02 03:16:00,Access Request,Scheduled,High,Default description of access request with scheduled urgency.,2.8
2024-10-01 15:30:00,Performance Issue,Low,High,Default description of performance issue with low urgency.,3.9
2024-10-01 21:33:00,Security Incident,Critical,High,Default description of security incident with critical urgency.,2.4
2024-10-02 00:46:00,Feature Request,Routine,High,Default description of feature request with routine urgency.,3.7
2024-10-01 19:54:00,Feature Request,Moderate,High,Default description of feature request with moderate urgency.,3.9
2024-10-01 10:13:00,Performance Issue,High,High,Default description of performance issue with high urgency.,3.8
2024-10-01 22:51:00,Security Incident,Low,High,Default description of security incident with low urgency.,3.6
2024-10-02 03:16:00,Access Request,Scheduled,Low,Default description of access request with scheduled urgency.,28.6
2024-10-01 19:29:00,System Outage,Scheduled,Medium,Default description of system outage with scheduled urgency.,6.7
2024-10-01 20:43:00,Feature Request,High,High,Default description of feature request with high urgency.,3.3
2024-10-01 23:58:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,7.1
2024-10-02 03:51:00,Maintenance Task,Scheduled,High,Default description of maintenance task with scheduled urgency.,3.8
2024-10-01 10:33:00,Maintenance Task,Critical,High,Default description of maintenance task with critical urgency.,3.9
2024-10-02 01:57:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,2.6
2024-10-01 13:57:00,Maintenance Task,Moderate,Medium,Default description of maintenance task with moderate urgency.,5.4
2024-10-02 00:40:00,Bug Report,Routine,Low,Default description of bug report with routine urgency.,82.4
2024-10-01 19:46:00,Security Incident,Critical,Medium,Default description of security incident with critical urgency.,1.8
2024-10-01 09:20:00,Hardware Failure,Critical,High,Default description of hardware failure with critical urgency.,1.9
2024-10-01 20:35:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,1.3
2024-10-02 02:16:00,Data Discrepancy,Low,Low,Default description of data discrepancy with low urgency.,31.1
2024-10-02 03:53:00,Performance Issue,Low,High,Default description of performance issue with low urgency.,1.2
2024-10-01 09:07:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,1.7
2024-10-01 16:31:00,Bug Report,Critical,Low,Default description of bug report with critical urgency.,3.8
2024-10-01 11:46:00,User Inquiry,High,High,Default description of user inquiry with high urgency.,2.7
2024-10-02 06:42:00,Bug Report,Routine,Medium,Default description of bug report with routine urgency.,6.0
2024-10-01 08:59:00,System Outage,High,Medium,Default description of system outage with high urgency.,7.4
2024-10-01 20:10:00,Performance Issue,Critical,High,Default description of performance issue with critical urgency.,3.0
2024-10-01 22:08:00,Data Discrepancy,Scheduled,Medium,Default description of data discrepancy with scheduled urgency.,5.9
